"DOI";"PublicationYear";"Venue";"Abstract";"WhichSearch";"Title";"CatLevel";"CatObjSubj";"CatFidelity";"HasBaseline";"HasPlacebo";"CS_HasAttentionCheck";"CS_HasDataQuality";"IsReproducible";"IsPreRegistered";"HasQuestionnaireValidation";"HasPreTesting";"HasLimitations";"SubsamplingGroup";"ParticipantCount";"ParticipantType";"NautaClassification"
"10.1145/2166966.2166996";2012;"Proceedings of the 2012 ACM international conference on Intelligent User Interfaces";"Intelligent interactive systems (IIS) have great potential to improve users' experience with technology by tailoring their behaviour and appearance to users' individual needs; however, these systems, with their complex algorithms and dynamic behaviour, can also suffer from a lack of comprehensibility and transparency. We present the results of two studies examining the comprehensibility of, and desire for explanations with deployed, low-cost IIS. The first study, a set of interviews with 21 participants, reveals that i) comprehensibility is not always dependent on explanations, and ii) the perceived cost of viewing explanations tends to outweigh the anticipated benefits. Our second study, a two-week diary study with 14 participants, confirms these findings in the context of daily use, with participants indicating a desire for an explanation in only 7% of diary entries. We discuss the implications of our findings for the design of explanation facilities.";"indirect";"Are explanations always important?";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"21";"students (NA),researchers (NA),administrative staff (NA)";"SS"
"10.1109/ICHI.2015.26";2015;"ICHI '15: Proceedings of the 2015 International Conference on Healthcare Informatics";"Clinical decision support systems (CDSS) are increasingly used by healthcare professionals for evidence-based diagnosis and treatment support.However, research has suggested that users often over-rely on system suggestions -even if the suggestions are wrong.Providing explanations could potentially mitigate misplaced trust in the system and overreliance.In this paper, we explore how explanations are related to user trust and reliance, as well as what information users would find helpful to better understand the reliability of a system's decision-making.We investigated these questions through an exploratory user study in which healthcare professionals were observed using a CDSS prototype to diagnose hypothetic cases using fictional patients suffering from a balancerelated disorder.Our results show that the amount of system confidence had only a slight effect on trust and reliance.More importantly, giving a fuller explanation of the facts used in making a diagnosis had a positive effect on trust but also led to over-reliance issues, whereas less detailed explanations made participants question the system's reliability and led to selfreliance problems.To help them in their assessment of the reliability of the system's decisions, study participants wanted better explanations to help them interpret the system's confidence, to verify that the disorder fit the suggestion, to better understand the reasoning chain of the decision model, and to make differential diagnoses.Our work is a first step toward improved CDSS design that better supports clinicians in making correct diagnoses.";"indirect";"The Role of Explanations on Trust and Reliance in Clinical Decision Support Systems";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"7";"domain experts (medical)";"FS,SS"
"10.1016/j.artmed.2022.102438";2022;"Artificial Intelligence in Medicine";"In the medical domain, the uptake of an AI tool crucially depends on whether clinicians are confident that they understand the tool. Bayesian networks are popular AI models in the medical domain, yet, explaining predictions from Bayesian networks to physicians and patients is non-trivial. Various explanation methods for Bayesian network inference have appeared in literature, focusing on different aspects of the underlying reasoning. While there has been a lot of technical research, there is little known about the actual user experience of such methods. In this paper, we present results of a study in which four different explanation approaches were evaluated through a survey by questioning a group of human participants on their perceived understanding in order to gain insights about their user experience.";"direct";"Investigating the understandability of XAI methods for enhanced user experience: When Bayesian network users became detectives";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"20";"not stated (NA)";"SC"
"10.1007/s10458-023-09634-5";2024;"Autonomous Agents and Multi-Agent Systems";"Abstract The awareness about healthy lifestyles is increasing, opening to personalized intelligent health coaching applications. A demand for more than mere suggestions and mechanistic interactions has driven attention to nutrition virtual coaching systems (NVC) as a bridge between human–machine interaction and recommender, informative, persuasive, and argumentation systems. NVC can rely on data-driven opaque mechanisms. Therefore, it is crucial to enable NVC to explain their doing (i.e., engaging the user in discussions (via arguments) about dietary solutions/alternatives). By doing so, transparency, user acceptance, and engagement are expected to be boosted. This study focuses on NVC agents generating personalized food recommendations based on user-specific factors such as allergies, eating habits, lifestyles, and ingredient preferences. In particular, we propose a user-agent negotiation process entailing run-time feedback mechanisms to react to both recommendations and related explanations. Lastly, the study presents the findings obtained by the experiments conducted with multi-background participants to evaluate the acceptability and effectiveness of the proposed system. The results indicate that most participants value the opportunity to provide feedback and receive explanations for recommendations. Additionally, the users are fond of receiving information tailored to their needs. Furthermore, our interactive recommendation system performed better than the corresponding traditional recommendation system in terms of effectiveness regarding the number of agreements and rounds.";"direct";"Towards interactive explanation-based nutrition virtual coaching systems";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"54";"not stated (NA)";"SS"
"10.1016/j.artmed.2023.102506";2023;"Artificial Intelligence in Medicine";"In this paper, we study human–AI collaboration protocols, a design-oriented construct aimed at establishing and evaluating how humans and AI can collaborate in cognitive tasks. We applied this construct in two user studies involving 12 specialist radiologists (the knee MRI study) and 44 ECG readers of varying expertise (the ECG study), who evaluated 240 and 20 cases, respectively, in different collaboration configurations. We confirm the utility of AI support but find that XAI can be associated with a “white-box paradox”, producing a null or detrimental effect. We also find that the order of presentation matters: AI-first protocols are associated with higher diagnostic accuracy than human-first protocols, and with higher accuracy than both humans and AI alone. Our findings identify the best conditions for AI to augment human diagnostic skills, rather than trigger dysfunctional responses and cognitive biases that can undermine decision effectiveness.";"direct";"Rams, hounds and white boxes: Investigating human–AI collaboration protocols in medical diagnosis";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"12,44";"domain experts (medical)";"FS,SC"
"10.3390/make5010017";2023;"Machine Learning and Knowledge Extraction";"The emergence of black-box, subsymbolic, and statistical AI systems has motivated a rapid increase in the interest regarding explainable AI (XAI), which encompasses both inherently explainable techniques, as well as approaches to make black-box AI systems explainable to human decision makers. Rather than always making black boxes transparent, these approaches are at risk of painting the black boxes white, thus failing to provide a level of transparency that would increase the system’s usability and comprehensibility, or even at risk of generating new errors (i.e., white-box paradox). To address these usability-related issues, in this work we focus on the cognitive dimension of users’ perception of explanations and XAI systems. We investigated these perceptions in light of their relationship with users’ characteristics (e.g., expertise) through a questionnaire-based user study involved 44 cardiology residents and specialists in an AI-supported ECG reading task. Our results point to the relevance and correlation of the dimensions of trust, perceived quality of explanations, and tendency to defer the decision process to automation (i.e., technology dominance). This contribution calls for the evaluation of AI-based support systems from a human–AI interaction-oriented perspective, laying the ground for further investigation of XAI and its effects on decision making and user experience.";"direct";"Painting the Black Box White: Experimental Findings from Applying XAI to an ECG Reading Setting";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"44";"domain experts (medical)";"FS,SS"
"10.1007/978-3-031-40837-3_10";2023;"Machine Learning and Knowledge Extraction. CD-MAKE 2023. Lecture Notes in Computer Science";"Augmented Intelligence (AuI) refers to the use of artificial intelligence (AI) to amplify certain cognitive tasks performed by human decision-makers. However, there are concerns that AI's increasing capability and alignment with human values may undermine user agency, autonomy, and responsible decision-making. To address these concerns, we conducted a user study in the field of orthopedic radiology diagnosis, introducing a reflective XAI (explainable AI) support that aimed to stimulate human reflection, and we evaluated its impact of in terms of decision performance, decision confidence and perceived utility. Specifically, the reflective XAI support system prompted users to reflect on the dependability of AI-generated advice by presenting evidence both in favor of and against its recommendation. This evidence was presented via two cases that closely resembled a given base case, along with pixel attribution maps. These cases were associated with the same AI advice for the base case, but one case was accurate while the other was erroneous with respect to the ground truth. While the introduction of this support system did not significantly enhance diagnostic accuracy, it was highly valued by more experienced users. Based on the findings of this study, we advocate for further research to validate the potential of reflective XAI in fostering more informed and responsible decision-making, ultimately preserving human agency.";"direct";"Let Me Think! Investigating the Effect of Explanations Feeding Doubts About the AI Advice";"Understanding";"Objective and Subjective";"Med";FALSE;FALSE;NA;NA;TRUE;FALSE;FALSE;FALSE;TRUE;"2021 and after";"16";"domain experts (medical)";"FS"
"10.1007/s00146-022-01536-6";2022;"AI & Society";"Providing meaningful and actionable explanations for end-users is a situated problem requiring the intersection of multiple disciplines to address social, operational, and technical challenges. However, the explainable artificial intelligence community has not commonly adopted or created tangible design tools that allow interdisciplinary work to develop reliable AI-powered solutions. This paper proposes a formative architecture that defines the explanation space from a user-inspired perspective. The architecture comprises five intertwined components to outline explanation requirements for a task: (1) the end-users’ mental models, (2) the end-users’ cognitive process, (3) the user interface, (4) the Human-Explainer Agent, and (5) the agent process. We first define each component of the architecture. Then, we present the Abstracted Explanation Space, a modeling tool that aggregates the architecture’s components to support designers in systematically aligning explanations with end-users’ work practices, needs, and goals. It guides the specifications of what needs to be explained (content: end-users’ mental model), why this explanation is necessary (context: end-users’ cognitive process), to delimit how to explain it (format: Human-Explainer Agent and user interface), and when the explanations should be given. We then exemplify the tool’s use in an ongoing case study in the aircraft maintenance domain. Finally, we discuss possible contributions of the tool, known limitations or areas for improvement, and future work to be done.";"direct";"An explanation space to align user studies with the technical development of Explainable AI";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NA";"domain experts (Aerospace industrial inspectors)";"SS"
"10.1145/3290605.3300234";2019;"CHI '19: Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems";"Machine learning (ML) is increasingly being used in image retrieval systems for medical decision making. One application of ML is to retrieve visually similar medical images from past patients (e.g. tissue from biopsies) to reference when making a medical decision with a new patient. However, no algorithm can perfectly capture an expert's ideal notion of similarity for every case: an image that is algorithmically determined to be similar may not be medically relevant to a doctor's specific diagnostic needs. In this paper, we identified the needs of pathologists when searching for similar images retrieved using a deep learning algorithm, and developed tools that empower users to cope with the search algorithm on-the-fly, communicating what types of similarity are most important at different moments in time. In two evaluations with pathologists, we found that these tools increased the diagnostic utility of images found and increased user trust in the algorithm. The tools were preferred over a traditional interface, without a loss in diagnostic accuracy. We also observed that users adopted new strategies when using refinement tools, re-purposing them to test and understand the underlying algorithm and to disambiguate ML errors from their own errors. Taken together, these findings inform future human-ML collaborative systems for expert decision-making.";"indirect";"Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"12";"domain experts (medical)";"FS,SS"
"10.1145/3301275.3302289";2019;"IUI '19: Proceedings of the 24th International Conference on Intelligent User Interfaces";"The black-box nature of machine learning algorithms can make their predictions difficult to understand and explain to end-users. In this paper, we propose and evaluate two kinds of example-based explanations in the visual domain, normative explanations and comparative explanations (Figure 1), which automatically surface examples from the training set of a deep neural net sketch-recognition algorithm. To investigate their effects, we deployed these explanations to 1150 users on QuickDraw, an online platform where users draw images and see whether a recognizer has correctly guessed the intended drawing. When the algorithm failed to recognize the drawing, those who received normative explanations felt they had a better understanding of the system, and perceived the system to have higher capability. However, comparative explanations did not always improve perceptions of the algorithm, possibly because they sometimes exposed limitations of the algorithm and may have led to surprise. These findings suggest that examples can serve as a vehicle for explaining algorithmic behavior, but point to relative advantages and disadvantages of using different kinds of examples, depending on the goal.";"indirect";"The effects of example-based explanations in a machine learning interface";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1150";"domain experts (QuickDraw platform users)";"SS,SC"
"10.1609/icwsm.v14i1.7282";2020;"Proceedings of the International AAAI Conference on Web and Social Media";"We present an experimental assessment of the impact of feature attribution-style explanations on human performance in predicting the consensus toxicity of social media posts with advice from an unreliable machine learning model. By doing so we add to a small but growing body of literature inspecting the utility of interpretable machine learning in terms of human outcomes. We also evaluate interpretable machine learning for the first time in the important domain of online toxicity, where fully-automated methods have faced criticism as being inadequate as a measure of toxic behavior.We find that, contrary to expectations, explanations have no significant impact on accuracy or agreement with model predictions, through they do change the distribution of subject error somewhat while reducing the cognitive burden of the task for subjects. Our results contribute to the recognition of an intriguing expectation gap in the field of interpretable machine learning between the general excitement the field has engendered and the ambiguous results of recent experimental work, including this study.";"direct";"Feature-Based Explanations Don't Help People Detect Misclassifications of Online Toxicity";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"588";"crowdsourcing (AMT)";"FS"
"10.1145/3588320";2023;"ACM Transactions on Interactive Intelligent Systems";"Existing eXplainable Artificial Intelligence (XAI) techniques support people in interpreting AI advice. However, although previous work evaluates the users’ understanding of explanations, factors influencing the decision support are largely overlooked in the literature. This article addresses this gap by studying the impact of user uncertainty , AI correctness , and the interaction between AI uncertainty and explanation logic-styles for classification tasks. We conducted two separate studies: one requesting participants to recognize handwritten digits and one to classify the sentiment of reviews. To assess the decision making, we analyzed the task performance, agreement with the AI suggestion, and the user’s reliance on the XAI interface elements. Participants make their decision relying on three pieces of information in the XAI interface (image or text instance, AI prediction, and explanation). Participants were shown one explanation style (between-participants design) according to three styles of logical reasoning (inductive, deductive, and abductive). This allowed us to study how different levels of AI uncertainty influence the effectiveness of different explanation styles. The results show that user uncertainty and AI correctness on predictions significantly affected users’ classification decisions considering the analyzed metrics. In both domains (images and text), users relied mainly on the instance to decide. Users were usually overconfident about their choices, and this evidence was more pronounced for text. Furthermore, the inductive style explanations led to overreliance on the AI advice in both domains—it was the most persuasive, even when the AI was incorrect. The abductive and deductive styles have complex effects depending on the domain and the AI uncertainty levels.";"direct";"Effects of AI and Logic-Style Explanations on Users’ Decisions Under Different Levels of Uncertainty";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"900";"crowdsourcing (Prolific)";"FS,SS,SC"
"10.1145/3581641.3584080";2023;"IUI '23: Proceedings of the 28th International Conference on Intelligent User Interfaces";"A common criteria for Explainable AI (XAI) is to support users in establishing appropriate trust in the AI – rejecting advice when it is incorrect, and accepting advice when it is correct. Previous findings suggest that explanations can cause an over-reliance on AI (overly accepting advice). Explanations that evoke appropriate trust are even more challenging for decision-making tasks that are difficult for humans and AI. For this reason, we study decision-making by non-experts in the high-uncertainty domain of stock trading. We compare the effectiveness of three different explanation styles (influenced by inductive, abductive, and deductive reasoning) and the role of AI confidence in terms of a) the users' reliance on the XAI interface elements (charts with indicators, AI prediction, explanation), b) the correctness of the decision (task performance), and c) the agreement with the AI's prediction. In contrast to previous work, we look at interactions between different aspects of decision-making, including AI correctness, and the combined effects of AI confidence and explanations styles. Our results show that specific explanation styles (abductive and deductive) improve the user's task performance in the case of high AI confidence compared to inductive explanations. In other words, these styles of explanations were able to invoke correct decisions (for both positive and negative decisions) when the system was certain. In such a condition, the agreement between the user's decision and the AI prediction confirms this finding, highlighting a significant agreement increase when the AI is correct. This suggests that both explanation styles are suitable for evoking appropriate trust in a confident AI.";"direct";"Supporting High-Uncertainty Decisions through AI and Logic-Style Explanations";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"184";"crowdsourcing (Prolific)";"FS,SS"
"10.1109/TVCG.2018.2864477";2019;"IEEE Transactions on Visualization and Computer Graphics";"Data clustering is a common unsupervised learning method frequently used in exploratory data analysis. However, identifying relevant structures in unlabeled, high-dimensional data is nontrivial, requiring iterative experimentation with clustering parameters as well as data features and instances. The number of possible clusterings for a typical dataset is vast, and navigating in this vast space is also challenging. The absence of ground-truth labels makes it impossible to define an optimal solution, thus requiring user judgment to establish what can be considered a satisfiable clustering result. Data scientists need adequate interactive tools to effectively explore and navigate the large clustering space so as to improve the effectiveness of exploratory clustering analysis. We introduce <italic xmlns:mml=http://www.w3.org/1998/Math/MathML xmlns:xlink=http://www.w3.org/1999/xlink>Clustrophile 2</i> , a new interactive tool for guided clustering analysis. <italic xmlns:mml=http://www.w3.org/1998/Math/MathML xmlns:xlink=http://www.w3.org/1999/xlink>Clustrophile 2</i> guides users in clustering-based exploratory analysis, adapts user feedback to improve user guidance, facilitates the interpretation of clusters, and helps quickly reason about differences between clusterings. To this end, <italic xmlns:mml=http://www.w3.org/1998/Math/MathML xmlns:xlink=http://www.w3.org/1999/xlink>Clustrophile 2</i> contributes a novel feature, the Clustering Tour, to help users choose clustering parameters and assess the quality of different clustering results in relation to current analysis goals and user expectations. We evaluate <italic xmlns:mml=http://www.w3.org/1998/Math/MathML xmlns:xlink=http://www.w3.org/1999/xlink>Clustrophile 2</i> through a user study with 12 data scientists, who used our tool to explore and interpret sub-cohorts in a dataset of Parkinson's disease patients. Results suggest that Clustrophile 2 improves the speed and effectiveness of exploratory clustering analysis for both experts and non-experts.";"indirect";"Clustrophile 2: Guided Visual Clustering Analysis";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"12";"domain experts (data scientists)";"SS"
"10.18653/v1/D18-1128";2018;"Proceedings of the 2018 Conference on Empirical Methods in Natural Language Processing";"A rich line of research attempts to make deep neural networks more transparent by generating human-interpretable 'explanations' of their decision process, especially for interactive tasks like Visual Question Answering (VQA). In this work, we analyze if existing explanations indeed make a VQA model — its responses as well as failures — more predictable to a human. Surprisingly, we find that they do not. On the other hand, we find that human-in-the-loop approaches that treat the model as a black-box do.";"indirect";"Do explanations make VQA models more predictable to a human?";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"280";"crowdsourcing (AMT)";"FS"
"10.1145/3301275.3302312";2019;"IUI '19: Proceedings of the 24th International Conference on Intelligent User Interfaces";"Job mediation services can assist job seekers in finding suitable employment through a personalised approach. Consultation or mediation sessions, supported by personal profile data of the job seeker, help job mediators understand personal situation and requests. Prediction and recommendation systems can directly provide job seekers with possible job vacancies. However, incorrect or unrealistic suggestions, and bad interpretations can result in bad decisions or demotivation of the job seeker. This paper explores how an interactive dashboard visualising prediction and recommendation output can help support the dialogue between job mediator and job seeker, by increasing the explainability and providing mediators with control over the information that is shown to job seekers.";"indirect";"Supporting job mediator and job seeker through an actionable dashboard";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"22";"domain experts (job mediators and seekers)";"SS,SC"
"10.1109/TVCG.2020.2986996";2020;"IEEE Transactions on Visualization and Computer Graphics";"t-Distributed Stochastic Neighbor Embedding (t-SNE) for the visualization of multidimensional data has proven to be a popular approach, with successful applications in a wide range of domains. Despite their usefulness, t-SNE projections can be hard to interpret or even misleading, which hurts the trustworthiness of the results. Understanding the details of t-SNE itself and the reasons behind specific patterns in its output may be a daunting task, especially for non-experts in dimensionality reduction. In this work, we present t-viSNE, an interactive tool for the visual exploration of t-SNE projections that enables analysts to inspect different aspects of their accuracy and meaning, such as the effects of hyper-parameters, distance and neighborhood preservation, densities and costs of specific neighborhoods, and the correlations between dimensions and visual patterns. We propose a coherent, accessible, and well-integrated collection of different views for the visualization of t-SNE projections. The applicability and usability of t-viSNE are demonstrated through hypothetical usage scenarios with real data sets. Finally, we present the results of a user study where the tool's effectiveness was evaluated. By bringing to light information that would normally be lost after running t-SNE, we hope to support analysts in using t-SNE and making its results better understandable.";"indirect";"t-viSNE: Interactive Assessment and Interpretation of t-SNE Projections";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"28";"domain experts (data analysis)";"SS"
"10.1145/3025171.3025173";2017;"IUI '17: Proceedings of the 22nd International Conference on Intelligent User Interfaces";"The explanation interface has been recognized important in recommender systems as it can help users evaluate recommendations in a more informed way for deciding which ones are relevant to their interests. In different decision environments, the specific aim of explanation can be different. In high-investment product domains (e.g., digital cameras, laptops) for which users usually attempt to avoid financial risk, how to support users to construct stable preferences and make better decisions is particularly crucial. In this paper, we propose a novel explanation interface that emphasizes explaining the tradeoff properties within a set of recommendations in terms of both their static specifications and feature sentiments extracted from product reviews. The objective is to assist users in more effectively exploring and understanding product space, and being able to better formulate their preferences for products by learning from other customers' experiences. Through two user studies (in form of both before-after and within-subjects experiments), we empirically identify the practical role of feature sentiments in combination with static specifications in producing tradeoff-oriented explanations. Specifically, we find that our explanation interface can be more effective to increase users' product knowledge, preference certainty, perceived information usefulness, recommendation transparency and quality, and purchase intention.";"indirect";"Explaining Recommendations Based on Feature Sentiments in Product Reviews";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"118";"students (NA),researchers (NA),administrative staff (NA),other (forums),crowdsourcing (AMT)";"SS,SC"
NA;2024;"NIPS '22: Proceedings of the 36th International Conference on Neural Information Processing Systems";"A growing body of research runs human subject evaluations to study whether providing users with explanations of machine learning models can help them with practical real-world use cases. However, running user studies is challenging and costly, and consequently each study typically only evaluates a limited number of different settings, eg, studies often only evaluate a few arbitrarily selected model explanation methods. To address these challenges and aid user study design, we introduce Simulated Evaluations (SimEvals). SimEvals involve training algorithmic agents that take as input the information content (such as model explanations) that would be presented to the user, to predict answers to the use case of interest. The algorithmic agent's test set accuracy provides a measure of the predictiveness of the information content for the downstream use case. We run a comprehensive evaluation on three real-world use cases (forward simulation, model debugging, and counterfactual reasoning) to demonstrate that SimEvals can effectively identify which explanation methods will help humans for each use case. These results provide evidence that\simevals {} can be used to efficiently screen an important set of user study design decisions, eg, selecting which explanations should be presented to the user, before running a potentially costly user study.";"indirect";"Use-Case-Grounded Simulations for Explanation Evaluation";"Understanding";"Objective";"No";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;NA;FALSE;FALSE;"top 4";"80";"crowdsourcing (AMT)";"FS,SAR"
NA;2024;"The Twelfth International Conference on Learning Representations (ICLR)";"Large language models (LLMs) are trained to imitate humans to explain human decisions. However, do LLMs explain themselves? Can they help humans build mental models of how LLMs process different inputs? To answer these questions, we propose to evaluate counterfactual simulatability of natural language explanations: whether an explanation can enable humans to precisely infer the model’s outputs on diverse counterfactuals of the explained input. For example, if a model answers ”yes” to the input question ”Can eagles fly?” with the explanation ”all birds can fly”, then humans would infer from the explanation that it would also answer ”yes” to the counterfactual input ”Can penguins fly?”. If the explanation is precise, then the model’s answer should match humans’ expectations. We implemented two metrics based on counterfactual simulatability: precision and generality. We generated diverse counterfactuals automatically using LLMs. We then used these metrics to evaluate state-of-the-art LLMs (e.g., GPT-4) on two tasks: multi-hop factual reasoning and reward modeling. We found that LLM’s explanations have low precision and that precision does not correlate with plausibility. Therefore, naively optimizing human approvals (e.g., RLHF) may be insufficient.";"top 4";"Do Models Explain Themselves? Counterfactual Simulatability of Natural Language Explanations";"Understanding";"Objective";"No";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;NA;FALSE;TRUE;"top 4";"NA";"crowdsourcing (AMT)";"SC"
"10.1145/3290605.3300789";2019;"CHI '19: Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems";"Increasingly, algorithms are used to make important decisions across society. However, these algorithms are usually poorly understood, which can reduce transparency and evoke negative emotions. In this research, we seek to learn design principles for explanation interfaces that communicate how decision-making algorithms work, in order to help organizations explain their decisions to stakeholders, or to support users' right to explanation. We conducted an online experiment where 199 participants used different explanation interfaces to understand an algorithm for making university admissions decisions. We measured users' objective and self-reported understanding of the algorithm. Our results show that both interactive explanations and white-box explanations (i.e. that show the inner workings of an algorithm) can improve users' comprehension. Although the interactive approach is more effective at improving comprehension, it comes with a trade-off of taking more time. Surprisingly, we also find that users' trust in algorithmic decisions is not affected by the explanation interface or their level of comprehension of the algorithm.";"indirect";"Explaining Decision-Making Algorithms through UI";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"202";"crowdsourcing (AMT)";"FS,SS"
"10.1109/TVCG.2020.3030342";2021;"IEEE Transactions on Visualization and Computer Graphics";"With machine learning models being increasingly applied to various decision-making scenarios, people have spent growing efforts to make machine learning models more transparent and explainable. Among various explanation techniques, counterfactual explanations have the advantages of being human-friendly and actionable-a counterfactual explanation tells the user how to gain the desired prediction with minimal changes to the input. Besides, counterfactual explanations can also serve as efficient probes to the models' decisions. In this work, we exploit the potential of counterfactual explanations to understand and explore the behavior of machine learning models. We design DECE, an interactive visualization system that helps understand and explore a model's decisions on individual instances and data subsets, supporting users ranging from decision-subjects to model developers. DECE supports exploratory analysis of model decisions by combining the strengths of counterfactual explanations at instance- and subgroup-levels. We also introduce a set of interactions that enable users to customize the generation of counterfactual explanations to find more actionable ones that can suit their needs. Through three use cases and an expert interview, we demonstrate the effectiveness of DECE in supporting decision exploration tasks and instance explanations.";"indirect";"DECE: Decision Explorer with Counterfactual Explanations for Machine Learning Models";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"3";"students (NA)";"SS"
"10.1109/TVCG.2021.3114836";2022;"IEEE Transactions on Visualization and Computer Graphics";"Machine learning (ML) is increasingly applied to Electronic Health Records (EHRs) to solve clinical prediction tasks. Although many ML models perform promisingly, issues with model transparency and interpretability limit their adoption in clinical practice. Directly using existing explainable ML techniques in clinical settings can be challenging. Through literature surveys and collaborations with six clinicians with an average of 17 years of clinical experience, we identified three key challenges, including clinicians' unfamiliarity with ML features, lack of contextual information, and the need for cohort-level evidence. Following an iterative design process, we further designed and developed VBridge, a visual analytics tool that seamlessly incorporates ML explanations into clinicians' decision-making workflow. The system includes a novel hierarchical display of contribution-based feature explanations and enriched interactions that connect the dots between ML features, explanations, and data. We demonstrated the effectiveness of VBridge through two case studies and expert interviews with four clinicians, showing that visually associating model explanations with patients' situational records can help clinicians better interpret and use model predictions when making clinician decisions. We further derived a list of design implications for developing future explainable ML tools to support clinical decision-making.";"indirect";"VBridge: Connecting the Dots Between Features and Data to Explain Healthcare Models";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2";"domain experts (medical)";"SS"
"10.1145/3172944.3173001";2018;"IUI '18: Proceedings of the 23rd International Conference on Intelligent User Interfaces";"One of the important aspects in graphic design is choosing the font of the caption that matches aesthetically the associated image. To obtain a good match, users would exhaustively examine a long font list requiring them a substantial effort. This paper presents FontMatcher, which supports users to design digital graphic works harmoniously pairing fonts with an image. The system provides three features, recommendation, explaination and feedback. If a warm feeling image is given as input, the system recommends warm feeling fonts, and then explains what is the distinguishing features of the recommendation, e.g. a cursive shape. Users can also provide feedback to find fonts which correspond to their intention. Our evaluation results show that the recommended fonts scored better than selected fonts by novices and provides competing results with the ones chosen by experienced graphic designers. The system also provides explanations that help increasing the reliability of the recommended results.";"indirect";"FontMatcher";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"6,300";"domain experts (designers),domain experts (novices),crowdsourcing (Yahoo)";"FS"
"10.1145/3393672.3398491";2020;"EICS '20 Companion: Companion Proceedings of the 12th ACM SIGCHI Symposium on Engineering Interactive Computing Systems";"Decision support systems (DSS) help users to make more informed and more effective decisions. In recent years, many intelligent DSS (IDSS) in business contexts involve machine learning (ML) methods, which make them inherently hard to explain and comprehend logically. Incomprehensible predictions, however, might violate the users' expectations. While explanations can help with this, prior research also shows that providing explanations in all situations may negatively impact trust and adherence, especially for users experienced in the decision task at hand. We used a human-centered design approach with domain experts to design a DSS for funds management in the construction industry and identified a strong need for control, personal involvement, and adequate data. To create an adequate level of trust and reliance, we contrasted the system's predictions with the values derived from an analytic hierarchical process (AHP), which makes the relative importance of our users' decision-making criteria explicit. We developed a prototype and evaluated its acceptance with 7 construction industry experts. By identifying situations in which the ML prediction and the domain expert potentially disagree, the DSS can identify a persuasion gap and use explanations more selectively. Our evaluation showed promising results and we plan to generalize our approach to a wider range of explainable artificial intelligence (XAI) problems, e.g., to provide explanations with arguments tailored to the user.";"indirect";"Mind the (persuasion) gap";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"7";"domain experts (project managers and controllers)";"SS"
"10.1145/3397481.3450644";2021;"IUI '21: Proceedings of the 26th International Conference on Intelligent User Interfaces";"Unintended consequences of deployed AI systems fueled the call for more interpretability in AI systems. Often explainable AI (XAI) systems provide users with simplifying local explanations for individual predictions but leave it up to them to construct a global understanding of the model behavior. In this work, we examine if non-technical users of XAI fall for an illusion of explanatory depth when interpreting additive local explanations. We applied a mixed methods approach consisting of a moderated study with 40 participants and an unmoderated study with 107 crowd workers using a spreadsheet-like explanation interface based on the SHAP framework. We observed what non-technical users do to form their mental models of global AI model behavior from local explanations and how their perception of understanding decreases when it is examined.";"direct";"I Think I Get Your Point, AI! The Illusion of Explanatory Depth in Explainable AI";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"40,107";"students (NA),researchers (NA),administrative staff (NA),crowdsourcing (Prolific)";"SS"
